"MapNumber","SectionNumber","CleanProgressEvent","EventMassege"
"1","1","0","의뢰를 받았구나. 어서 일을 시작 하자구!"
"1","1","20","처음 해보는 청소는 어때? 잘 진행되고 있는거지?"
"1","1","40","지루하면 노래라도 들으면서 해보게나 ㅎ"
"1","1","60","어제 새로 이사 온 이웃이 있어 그런데 뭔가 불만이 있나봐"
"1","1","80","일은 잘 진행되고 있어? 가끔 연락하라구!"
"1","1","100","수고했네 첫 일치곤 빨리 끝났네 대충한거 아니지?"
"1","2","0","저희집 보고 놀라셧죠? 엉망 진창 된지 얼마 안되서 청소하기 까다롭진 않을거에요."
"1","2","20","청소는 잘 되고 계신가요? 아이들이 자꾸 밖에서 놀고 싶다고 아우성이네요."
"1","2","40","집 냉장고에 음료와 간식 넣어 뒀습니다. 출출하실때 드세요."
"1","2","60","아참 마당에 웅덩이는 깨끗하게 해주셧으면 해요 물고길 키울거거든요"
"1","2","80","이제 곧 회사를 마치고 집에 갈거에요. 청소가 끝나있었으면 좋겟네요."
"1","2","100","부모님이 청소된 마당을 보고 기뻐하셧어요! 고마워요!"
"1","3","0","의뢰를 받았구나. 어서 일을 시작 하자구!"
"1","3","20","처음 해보는 청소는 어때? 잘 진행되고 있는거지?"
"1","3","40","지루하면 노래라도 들으면서 해보게나 ㅎ"
"1","3","60","어제 새로 이사 온 이웃이 있어 그런데 뭔가 불만이 있나봐"
"1","3","80","일은 잘 진행되고 있어? 가끔 연락하라구!"
"1","3","100","수고했네 첫 일치곤 빨리 끝났네 대충한거 아니지?"
"2","1","0","저희집 보고 놀라셧죠? 엉망 진창 된지 얼마 안되서 청소하기 까다롭진 않을거에요."
"2","1","20","청소는 잘 되고 계신가요? 아이들이 자꾸 밖에서 놀고 싶다고 아우성이네요."
"2","1","40","집 냉장고에 음료와 간식 넣어 뒀습니다. 출출하실때 드세요."
"2","1","60","아참 마당에 웅덩이는 깨끗하게 해주셧으면 해요 물고길 키울거거든요"
"2","1","80","이제 곧 회사를 마치고 집에 갈거에요. 청소가 끝나있었으면 좋겟네요."
"2","1","100","부모님이 청소된 마당을 보고 기뻐하셧어요! 고마워요!"
"2","2","0","의뢰를 받았구나. 어서 일을 시작 하자구!"
"2","2","20","처음 해보는 청소는 어때? 잘 진행되고 있는거지?"
"2","2","40","지루하면 노래라도 들으면서 해보게나 ㅎ"
"2","2","60","어제 새로 이사 온 이웃이 있어 그런데 뭔가 불만이 있나봐"
"2","2","80","일은 잘 진행되고 있어? 가끔 연락하라구!"
"2","2","100","수고했네 첫 일치곤 빨리 끝났네 대충한거 아니지?"
"2","3","0","저희집 보고 놀라셧죠? 엉망 진창 된지 얼마 안되서 청소하기 까다롭진 않을거에요."
"2","3","20","청소는 잘 되고 계신가요? 아이들이 자꾸 밖에서 놀고 싶다고 아우성이네요."
"2","3","40","집 냉장고에 음료와 간식 넣어 뒀습니다. 출출하실때 드세요."
"2","3","60","아참 마당에 웅덩이는 깨끗하게 해주셧으면 해요 물고길 키울거거든요"
"2","3","80","이제 곧 회사를 마치고 집에 갈거에요. 청소가 끝나있었으면 좋겟네요."
"2","3","100","부모님이 청소된 마당을 보고 기뻐하셧어요! 고마워요!"
